#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
34.040	465	34.064	513
34.090	446	34.116	532
34.141	426	34.166	552
34.191	406	34.217	572
34.243	384	34.267	589
34.293	364	34.318	608
34.344	348	34.369	624
34.394	335	34.420	633
34.445	326	34.471	637
34.496	321	34.521	638
34.547	321	34.572	634
34.597	325	34.622	627
34.648	334	34.674	615
34.698	347	34.724	598
34.749	364	34.775	580
34.800	381	34.825	560
34.851	401	34.876	541
34.901	426	34.927	521
34.952	444	34.978	503
35.002	461	35.028	487
35.054	475	35.079	476
35.104	486	35.129	472
35.155	494	35.181	465
35.205	495	35.231	467
35.256	493	35.282	473
35.307	486	35.332	485
35.358	474	35.383	498
35.408	460	35.433	516
35.459	442	35.485	535
35.509	421	35.535	555
35.560	403	35.586	574
35.611	383	35.636	593
35.662	364	35.687	608
35.712	348	35.738	622
35.763	336	35.789	631
35.813	328	35.839	636
35.865	324	35.890	636
35.915	325	35.940	632
35.966	330	35.992	624
36.016	339	36.042	612
36.067	353	36.093	594
36.118	369	36.143	577
36.169	387	36.194	557
36.219	407	36.245	538
36.270	427	36.296	520
36.320	444	36.346	502
36.371	460	36.397	489
36.422	474	36.447	476
36.473	483	36.498	470
36.523	490	36.549	468
36.574	491	36.600	470
36.624	489	36.650	477
36.676	480	36.701	488
36.726	470	36.751	502
36.777	455	36.803	519
36.827	438	36.853	538
36.878	420	36.904	558
36.929	400	36.954	577
36.980	382	37.005	594
37.030	365	37.056	609
37.081	352	37.107	621
37.131	336	37.157	629
37.182	330	37.208	634
37.233	327	37.258	634
37.284	329	37.309	629
37.334	334	37.360	621
37.385	344	37.411	607
37.435	358	37.461	591
37.487	373	37.512	573
37.537	391	37.562	554
37.588	409	37.614	535
37.638	428	37.664	517
37.689	446	37.715	500
37.740	461	37.765	487
37.791	473	37.816	477
37.841	483	37.867	471
37.892	487	37.918	471
37.942	488	37.968	472
37.993	486	38.019	482
38.044	477	38.069	491
38.095	465	38.120	505
38.145	451	38.171	522
38.196	434	38.222	542
38.246	416	38.272	559
38.298	396	38.323	577
38.348	380	38.373	595
38.399	365	38.425	610
38.449	350	38.475	621
38.500	339	38.526	628
38.551	335	38.576	632
38.602	330	38.627	630
38.652	330	38.678	625
38.703	341	38.729	615
38.753	349	38.779	603
38.805	360	38.830	589
38.855	377	38.880	571
38.906	394	38.931	550
38.956	412	38.982	537
39.007	430	39.033	515
39.057	446	39.083	502
39.109	462	39.134	487
39.159	473	39.184	480
39.210	480	39.236	473
39.260	486	39.286	473
39.311	482	39.337	476
39.362	482	39.387	483
39.413	473	39.438	495
39.463	460	39.489	507
39.514	448	39.540	526
39.564	431	39.590	544
39.616	411	39.641	564
39.666	395	39.691	578
39.717	379	39.742	596
39.767	363	39.793	610
39.818	351	39.844	619
39.868	341	39.894	628
39.920	336	39.945	630
39.970	331	39.995	629
40.021	336	40.047	623
40.071	342	40.097	613
40.122	354	40.148	600
40.173	367	40.198	584
40.224	381	40.249	568
40.274	399	40.300	550
40.325	416	40.351	532
40.375	432	40.401	515
40.427	448	40.452	500
40.477	461	40.502	489
40.528	471	40.553	479
40.578	479	40.604	472
40.629	482	40.655	474
40.679	482	40.705	479
40.731	476	40.756	486
40.781	468	40.806	498
40.832	455	40.858	512
40.882	442	40.908	529
40.933	430	40.959	546
40.984	410	41.009	564
41.035	392	41.060	581
41.085	378	41.111	597
41.136	363	41.162	610
41.186	351	41.212	618
41.238	343	41.263	624
41.288	339	41.313	629
41.339	336	41.365	627
41.389	340	41.415	619
41.440	348	41.466	610
41.490	355	41.516	596
41.542	372	41.567	582
41.592	385	41.617	565
41.643	401	41.669	548
41.693	418	41.719	531
41.744	432	41.770	514
41.795	450	41.820	501
41.846	461	41.871	487
41.896	470	41.922	481
41.947	476	41.973	474
41.997	479	42.023	478
42.049	478	42.074	481
42.099	473	42.124	488
42.150	464	42.176	501
42.200	453	42.226	515
42.251	437	42.277	532
42.301	423	42.327	548
42.353	407	42.378	565
42.403	390	42.428	581
42.454	374	42.480	597
42.504	362	42.530	608
42.555	353	42.581	618
42.606	344	42.631	621
42.657	342	42.682	624
42.707	341	42.733	623
42.758	344	42.784	618
42.808	351	42.834	609
42.860	362	42.885	594
42.910	374	42.935	579
42.961	390	42.987	563
43.011	405	43.037	546
43.062	420	43.088	529
43.112	437	43.138	515
43.164	448	43.189	500
43.214	461	43.239	489
43.265	469	43.291	483
43.315	475	43.341	480
43.366	477	43.392	479
43.418	475	43.442	486
43.468	469	43.493	494
43.519	461	43.544	501
43.569	448	43.595	518
43.620	435	43.645	534
43.671	421	43.696	551
43.722	405	43.746	567
43.772	390	43.798	583
43.823	374	43.848	597
43.873	362	43.899	608
43.925	354	43.949	616
43.975	346	44.000	622
44.026	344	44.050	622
44.076	344	44.102	621
44.127	348	44.152	612
44.177	356	44.203	603
44.229	366	44.253	589
44.279	377	44.304	576
44.330	393	44.355	563
44.380	408	44.406	544
44.431	422	44.456	526
44.482	437	44.507	513
44.533	450	44.557	501
44.583	462	44.609	491
44.634	467	44.659	484
44.684	473	44.710	481
44.736	474	44.760	483
44.786	471	44.811	485
44.837	465	44.861	494
44.887	456	44.913	509
44.938	445	44.963	524
44.988	431	45.014	535
45.040	415	45.064	552
45.090	402	45.115	568
45.141	389	45.166	584
45.191	374	45.217	596
45.242	364	45.267	607
45.293	356	45.318	616
45.344	347	45.368	619
45.394	346	45.420	620
45.445	346	45.470	617
45.495	351	45.521	611
45.547	359	45.571	600
45.597	368	45.622	587
45.648	382	45.672	572
45.698	398	45.724	560
45.749	411	45.774	543
45.799	425	45.825	528
45.851	438	45.875	513
45.901	450	45.926	501
45.952	463	45.977	492
46.002	466	46.028	487
46.053	473	46.078	484
46.104	469	46.129	486
46.155	468	46.179	492
46.205	462	46.231	499
46.256	454	46.281	511
46.306	442	46.332	527
46.358	428	46.382	540
46.408	416	46.433	553
46.459	399	46.483	568
46.509	385	46.535	583
46.560	373	46.586	596
46.610	361	46.636	606
46.662	355	46.687	613
46.712	351	46.737	617
46.763	348	46.789	617
46.813	350	46.839	614
46.864	355	46.890	607
46.915	364	46.940	599
46.966	374	46.991	585
47.016	386	47.042	571
47.067	399	47.093	553
47.117	414	47.143	542
47.169	428	47.194	525
47.219	440	47.244	512
47.270	451	47.296	502
47.320	461	47.346	494
47.371	465	47.397	489
47.421	470	47.447	488
47.473	468	47.498	489
47.523	466	47.548	495
47.574	457	47.600	503
