#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 11:16:27 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
41.999	469	42.023	616
42.049	470	42.075	614
42.100	470	42.125	606
42.150	470	42.176	593
42.202	471	42.226	575
42.252	470	42.277	556
42.303	472	42.327	532
42.353	470	42.379	508
42.404	470	42.429	484
42.454	471	42.480	463
42.506	470	42.530	441
42.556	472	42.581	425
42.607	470	42.632	411
42.657	470	42.683	402
42.708	471	42.733	398
42.759	470	42.784	402
42.810	471	42.834	409
42.860	469	42.886	424
42.911	470	42.936	441
42.961	471	42.987	461
43.013	471	43.037	482
43.063	471	43.088	508
43.114	471	43.138	531
43.164	470	43.190	555
43.215	471	43.241	573
43.265	470	43.291	588
43.317	471	43.342	602
43.367	471	43.392	608
43.418	470	43.444	612
43.468	471	43.494	607
43.519	470	43.545	601
43.570	470	43.595	588
43.621	470	43.646	572
43.671	470	43.697	551
43.722	469	43.748	530
43.772	471	43.798	505
43.824	471	43.849	483
43.874	471	43.899	460
43.925	470	43.951	441
43.975	471	44.001	423
44.026	470	44.052	413
44.076	470	44.102	403
44.128	470	44.153	400
44.178	471	44.203	406
44.229	469	44.255	416
44.279	472	44.305	428
44.330	472	44.356	446
44.381	472	44.406	465
44.432	469	44.457	487
44.482	467	44.508	510
44.533	472	44.559	533
44.583	470	44.609	555
44.635	471	44.660	577
44.685	470	44.710	587
44.736	470	44.762	602
44.786	470	44.812	609
44.837	471	44.863	611
44.887	469	44.913	606
44.939	471	44.964	597
44.989	471	45.014	585
45.040	471	45.066	567
45.090	472	45.116	549
45.141	471	45.167	526
45.192	470	45.217	503
45.243	470	45.268	480
45.293	468	45.319	459
45.344	470	45.370	442
45.394	470	45.420	428
45.446	470	45.471	415
45.496	470	45.521	408
45.547	470	45.573	405
45.597	470	45.623	409
45.648	470	45.674	419
45.698	471	45.724	432
45.750	471	45.775	449
45.800	471	45.825	468
45.851	472	45.877	490
45.901	467	45.927	512
45.952	471	45.978	536
46.003	471	46.028	556
46.054	470	46.079	574
46.104	470	46.130	587
46.155	470	46.181	601
46.205	470	46.231	605
46.257	470	46.282	605
46.307	470	46.332	600
46.358	470	46.384	594
46.408	471	46.434	580
46.459	471	46.485	565
46.510	471	46.535	543
46.561	470	46.586	523
46.611	471	46.636	501
46.662	470	46.688	478
46.712	470	46.738	459
46.763	470	46.789	440
46.814	470	46.839	427
46.865	470	46.890	417
46.915	470	46.941	409
46.966	470	46.992	410
47.016	470	47.042	416
47.068	469	47.093	424
47.118	470	47.143	436
47.169	470	47.195	453
47.219	470	47.245	473
47.270	469	47.296	494
47.321	474	47.346	516
47.372	472	47.397	537
47.422	471	47.447	557
47.473	470	47.499	574
47.523	471	47.549	587
47.574	470	47.600	600
47.625	471	47.650	604
47.676	471	47.701	603
47.727	470	47.752	598
47.777	470	47.803	593
47.828	470	47.853	575
47.879	471	47.904	559
47.930	470	47.954	540
47.980	471	48.006	519
48.031	469	48.056	498
48.081	469	48.107	478
48.133	471	48.157	459
48.183	469	48.208	442
48.234	471	48.258	428
48.284	471	48.310	416
48.335	470	48.360	415
48.385	470	48.411	410
48.437	471	48.461	417
48.487	470	48.512	427
48.538	469	48.563	440
48.588	468	48.614	458
48.639	468	48.664	476
48.690	469	48.715	497
48.741	471	48.765	517
48.791	470	48.817	539
48.842	470	48.867	558
48.892	470	48.918	574
48.944	471	48.968	584
48.994	470	49.019	596
49.045	470	49.070	600
49.095	471	49.121	600
49.146	470	49.171	595
49.196	471	49.222	587
49.248	470	49.272	573
49.298	470	49.323	558
49.349	470	49.374	537
49.399	471	49.425	517
49.450	470	49.475	496
49.501	472	49.526	477
49.552	470	49.576	457
49.602	468	49.628	442
49.653	470	49.678	426
49.703	470	49.729	422
49.755	470	49.779	415
49.805	471	49.830	417
49.856	470	49.881	420
49.906	469	49.932	432
49.957	470	49.982	444
50.007	472	50.033	459
50.059	470	50.083	479
50.109	469	50.134	500
50.160	470	50.185	520
50.210	468	50.236	540
50.261	470	50.286	559
50.312	473	50.337	574
50.363	468	50.387	586
50.413	471	50.439	594
50.464	471	50.489	597
50.514	470	50.540	598
50.566	470	50.590	591
50.616	470	50.641	582
50.667	470	50.692	569
50.717	471	50.743	554
50.768	470	50.794	534
50.818	471	50.844	515
50.870	470	50.895	494
50.920	472	50.945	475
50.971	471	50.997	459
51.021	471	51.047	442
51.072	471	51.098	430
51.123	470	51.148	423
51.174	470	51.199	419
51.224	470	51.250	423
51.275	470	51.301	422
51.325	470	51.351	436
51.377	468	51.402	448
51.427	470	51.452	466
51.478	470	51.504	483
51.528	470	51.554	497
51.579	469	51.605	520
51.630	471	51.655	540
51.681	472	51.706	558
51.731	471	51.756	573
51.782	469	51.808	584
51.832	471	51.858	591
51.883	469	51.909	594
51.934	471	51.959	593
51.985	470	52.010	588
52.035	470	52.061	578
52.086	469	52.112	568
52.136	470	52.162	550
52.188	470	52.213	531
52.238	469	52.263	512
52.289	470	52.315	493
52.339	472	52.365	474
52.390	469	52.416	457
