#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
40.274	302	40.300	438
40.325	315	40.351	451
40.375	338	40.401	469
40.427	359	40.452	490
40.477	389	40.502	508
40.528	415	40.554	528
40.578	441	40.604	547
40.629	467	40.655	563
40.680	488	40.705	578
40.731	506	40.756	587
40.781	518	40.807	594
40.832	525	40.858	599
40.882	525	40.908	592
40.934	520	40.959	587
40.984	507	41.009	576
41.035	493	41.061	563
41.085	472	41.111	546
41.136	447	41.162	528
41.186	420	41.212	509
41.238	394	41.263	490
41.288	368	41.313	468
41.339	343	41.365	454
41.389	323	41.415	443
41.440	307	41.466	429
41.491	295	41.516	425
41.542	289	41.567	420
41.592	289	41.618	422
41.643	296	41.669	430
41.693	307	41.719	439
41.745	325	41.770	452
41.795	343	41.820	470
41.846	371	41.872	487
41.896	394	41.922	506
41.947	421	41.973	527
41.997	447	42.023	544
42.049	470	42.074	559
42.099	490	42.124	573
42.150	506	42.176	585
42.200	517	42.226	590
42.251	522	42.277	592
42.302	522	42.327	591
42.353	514	42.378	585
42.404	501	42.429	576
42.454	482	42.480	562
42.505	462	42.530	547
42.556	441	42.581	529
42.607	415	42.631	510
42.657	388	42.683	489
42.708	363	42.733	472
42.758	341	42.784	457
42.810	321	42.834	441
42.860	306	42.885	432
42.911	297	42.935	423
42.961	293	42.987	423
43.012	294	43.037	424
43.062	303	43.088	430
43.114	311	43.138	441
43.164	331	43.189	453
43.215	353	43.240	469
43.265	374	43.291	486
43.316	401	43.341	504
43.367	427	43.392	521
43.418	450	43.442	541
43.468	472	43.494	555
43.519	491	43.544	571
43.569	505	43.595	584
43.621	515	43.645	589
43.671	519	43.696	590
43.722	518	43.746	590
43.772	508	43.798	585
43.823	499	43.848	575
43.873	477	43.899	562
43.925	456	43.949	547
43.975	433	44.000	530
44.026	409	44.051	510
44.076	382	44.102	493
44.127	359	44.152	476
44.178	339	44.203	459
44.229	321	44.253	444
44.279	309	44.305	433
44.330	299	44.355	427
44.380	297	44.406	424
44.432	301	44.456	425
44.482	308	44.507	431
44.533	319	44.557	440
44.583	339	44.609	454
44.634	359	44.659	469
44.684	383	44.710	484
44.736	407	44.760	504
44.786	431	44.811	522
44.837	454	44.862	540
44.887	475	44.913	555
44.938	491	44.963	569
44.989	504	45.014	581
45.040	511	45.064	588
45.090	515	45.116	591
45.141	511	45.166	589
