#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
50.006	406	50.032	463
50.057	412	50.083	465
50.108	419	50.133	470
50.159	426	50.184	478
50.209	431	50.234	485
50.260	436	50.286	499
50.310	438	50.336	511
50.361	440	50.387	524
50.412	439	50.437	536
50.463	438	50.488	547
50.513	434	50.539	557
50.564	431	50.590	564
50.614	425	50.640	569
50.666	419	50.691	571
50.716	412	50.741	571
50.767	406	50.793	567
50.817	402	50.843	562
50.868	396	50.894	553
50.919	391	50.944	543
50.970	389	50.995	531
51.020	386	51.046	519
51.071	385	51.097	506
51.121	386	51.147	494
51.172	389	51.198	483
51.223	392	51.248	474
51.274	396	51.299	467
51.325	400	51.350	463
51.375	405	51.401	461
51.426	411	51.451	463
51.477	415	51.502	468
51.528	420	51.552	474
51.578	424	51.604	485
51.629	427	51.654	493
51.679	430	51.705	507
51.731	431	51.755	520
51.781	432	51.806	531
51.832	430	51.857	543
51.882	428	51.908	554
51.933	426	51.958	562
51.983	423	52.009	569
52.035	418	52.059	572
52.085	414	52.110	571
52.136	410	52.161	570
52.186	406	52.212	565
52.237	402	52.262	557
52.288	399	52.313	547
52.339	397	52.363	537
52.389	395	52.415	523
52.440	395	52.465	511
52.490	393	52.516	498
52.542	395	52.566	487
52.592	397	52.617	476
52.643	399	52.668	469
52.693	402	52.719	463
52.744	405	52.769	461
52.794	409	52.820	462
52.846	412	52.870	464
52.896	415	52.921	472
52.947	417	52.972	479
52.997	420	53.023	490
53.048	421	53.073	501
53.099	423	53.124	514
53.150	424	53.174	527
53.200	422	53.226	539
53.251	421	53.276	552
53.301	421	53.327	559
53.353	418	53.377	566
53.403	416	53.428	570
53.454	414	53.479	572
53.504	412	53.530	571
53.555	409	53.580	567
53.606	407	53.631	559
53.657	405	53.681	551
53.707	404	53.732	540
53.758	404	53.783	528
53.808	403	53.834	515
53.859	404	53.884	503
53.910	402	53.935	490
53.961	403	53.985	480
54.011	405	54.037	471
54.062	405	54.087	467
54.112	407	54.138	461
54.164	408	54.188	461
54.214	410	54.239	463
54.265	412	54.290	469
54.315	413	54.341	478
54.366	414	54.392	486
54.417	415	54.442	497
54.468	414	54.493	510
54.518	415	54.543	523
54.569	414	54.595	535
54.619	414	54.645	546
54.670	414	54.696	555
54.721	414	54.746	563
54.772	414	54.797	569
54.822	413	54.848	570
54.873	412	54.899	571
54.923	410	54.949	566
54.975	411	55.000	561
55.025	410	55.050	552
55.076	408	55.102	544
55.126	410	55.152	530
55.177	410	55.203	519
55.228	409	55.253	507
55.279	411	55.304	495
55.329	410	55.354	485
55.380	409	55.406	475
55.430	411	55.456	469
55.481	410	55.507	464
55.532	411	55.557	463
55.583	410	55.608	464
55.633	410	55.659	468
55.684	410	55.710	475
55.734	409	55.760	484
55.786	408	55.811	494
55.836	411	55.861	505
55.887	408	55.913	518
55.937	408	55.963	530
55.988	409	56.014	543
56.039	409	56.064	551
56.090	410	56.115	560
56.140	410	56.166	564
56.191	410	56.217	567
56.241	411	56.267	569
56.292	412	56.318	567
56.343	413	56.368	561
56.394	414	56.419	555
56.444	414	56.470	545
56.495	414	56.521	534
56.545	415	56.571	524
56.597	416	56.622	512
56.647	414	56.672	499
56.698	416	56.724	489
56.748	415	56.774	480
56.799	412	56.825	473
56.850	412	56.875	469
56.901	410	56.926	465
56.951	410	56.977	467
57.002	407	57.028	469
57.052	407	57.078	475
57.103	405	57.129	482
57.154	404	57.179	492
57.205	403	57.230	502
57.255	404	57.281	514
57.306	402	57.332	526
57.356	403	57.382	536
57.408	405	57.433	547
57.458	406	57.483	554
